Producto,Nombre,Descripcion,medidas,material,empaque,Impresion,Colores,precio_unitario,precio_mayorista,precio_cliente,precio_promocion7,precio_cliente_mayorista
PAI400DH,Placa En Aluminio Impreso,Placa de aluminio impreso corte doble en Diagonal  27 X 34  CM,27x34 cm,Aluminio,1,Serigrafia,Plateado,$650.00,$650.00,$780.00,$780.00,$780.00
PAI302PV,Placa En Aluminio Impreso,Placa de aluminio impresa plata con pergamino tamaño carta. contorno Maria Luisa plata tipo 26.5 X 35 CM,26.5x35 cm,Aluminio,1,Serigrafia,Plateado,$650.00,$650.00,$780.00,$780.00,$780.00
PAI100PH,Placa En Aluminio Impreso,Placa de aluminio impreso tipo curvo horizontal con 8 remaches en base de MDF 34 X 26 CM,34x26 cm,Aluminio,1,Serigrafia,Plateado,$650.00,$650.00,$780.00,$780.00,$780.00
PAI7110PH,Placa En Aluminio Impreso,Placa de aluminio media carta impresa con contorno Maria Luisa y base de madera 20 X 25 CM,20x25 cm,Aluminio,1,Serigrafia,Dorado,$650.00,$650.00,$780.00,$780.00,$780.00
PAI201PV ,Placa En Aluminio Impreso,Placa de aluminio impresa dorado con logo corte láser 3d y contorno en Maria Luisa color plata 27 X 33 CM,27x33 cm,Aluminio,1,Serigrafia,Dorado,$700.00,$700.00,$840.00,$840.00,$840.00
PAI742SH,Placa En Aluminio Impreso,Placa de aluminio impresa en base de MDF 32 X 25 CM,32x25 cm,Aluminio,1,Serigrafia,Negro,$750.00,$750.00,$900.00,$900.00,$900.00
PAI900SH,Placa En Aluminio Impreso,Placa de Aluminio color blanco cortado al calce en base de MDF corte láser 3d.  26 X 35 CM,26x35 cm,Aluminio,1,Serigrafia,Negro,"$1,000.00","$1,000.00","$1,200.00","$1,200.00","$1,200.00"
PAI842PV,Placa En Aluminio Impreso,Placa de aluminio impresa color plata con contorno en Maria Luisa Plata brillante en base de MDF blanca y 4 chapetones 25 X 25 CM,25x35 cm,Aluminio,1,Serigrafia,Plateado,$700.00,$700.00,$840.00,$840.00,$840.00
PAI842OH,Placa En Aluminio Impreso,Placa de aluminio plata con contorno en Maria Luisa color pñata brillante con4 chapetones en base de cristal tintex de 13mm 26.5 X 26.5 CM,26.5x26.5 cm,Aluminio,1,Serigrafia,Plateado,$750.00,$750.00,$900.00,$900.00,$900.00
PAI10-4OSV,Placa En Aluminio Impreso,Placa de aluminio Impreso blanco con poste de aluminio 11x14 CM,20x25 cm,Aluminio,1,Serigrafia,Multicolor,$250.00,$250.00,$300.00,$300.00,$300.00
